from,to,distance
12281290,672127493,0.08865799224709667
12281290,378054895,0.2126811557050834
672127493,12281290,0.08865799224709667
672127493,139456764,0.18413622658532489
672127493,378054895,0.18251564502705425
378054895,139456765,0.2552224469529215
378054895,12281290,0.2126811557050834
378054895,672127493,0.18251564502705425
123899523,180513253,0.12429763469327723
123899523,12281290,0.24219098337550163
123899523,105425715,0.23042316979053654
123899523,672030013,0.22591533362317248
672030013,12281290,0.2097164296506058
672030013,123899523,0.22591533362317248
12282537,805421298,0.1379728016734213
12282537,12294127,0.30489537766987274
12294127,12282537,0.30489537766987274
12294127,672127469,0.20565076956479134
805421298,12282537,0.1379728016734213
805421298,12308786,0.06166144529409079
805421298,672127462,0.10182981952211655
12284458,85688301,0.06820480926996747
12284458,85688310,0.056438921781502976
85688301,12284458,0.06820480926996747
85688301,655145669,0.032768043366559314
85688310,12284458,0.056438921781502976
85688310,85688300,0.10505068301902974
672127481,672127480,0.04825275029517191
672127481,12285460,0.027424188216649218
672127481,12285462,0.0622083862415973
12285460,672127481,0.027424188216649218
12285460,26951470,0.06927766520586734
26951470,672127483,0.07610465333709719
26951470,12285460,0.06927766520586734
746684754,746684753,0.026822800656302943
746684754,12285462,0.05512306044261241
12285462,672127480,0.06893895776555406
12285462,672127481,0.0622083862415973
12285462,746684754,0.05512306044261241
672127480,672127481,0.04825275029517191
672127480,672127478,0.02846960473793939
672127480,12285462,0.06893895776555406
672127480,90488047,0.05710253761426855
12285488,95705994,0.0571841698481341
12285488,672181260,0.062346958661815256
672181260,12285488,0.062346958661815256
672181260,97825351,0.09323924987565235
95705994,12285488,0.0571841698481341
95705994,95705997,0.7148689117450636
48060923,48060891,0.0325343866251844
48060923,12288070,0.035055071590675536
12288070,48060923,0.035055071590675536
12291637,123416136,0.004802995644951056
12291637,123416131,0.009654255048619094
12291637,672127471,0.01025814192031352
672127471,12291637,0.01025814192031352
672127471,123416135,0.010050299691749897
123416136,123416120,0.015362864563818192
123416136,123416131,0.008720221206637619
123416136,12291637,0.004802995644951056
123416131,123416136,0.008720221206637619
123416131,12291637,0.009654255048619094
123416131,87316373,0.005767310640465155
12292025,46614001,0.33025224238583073
12292025,672181290,0.23577876775129655
12292025,12298599,0.4401746956518047
12298599,12292025,0.4401746956518047
12298599,672181293,0.4619619066810432
12298599,671005423,0.46361169325507245
672181290,12292025,0.23577876775129655
672181290,46614001,0.3588351834358513
672181290,46613999,0.08056508270765822
46614001,12292025,0.33025224238583073
46614001,672181290,0.3588351834358513
46614001,716689913,0.4178700553433604
672181288,672181289,0.3444826498742914
672181288,43960906,0.2844926889385448
672181288,12292469,0.546946762781691
672181289,672181288,0.3444826498742914
672181289,347962249,0.3159136007327532
672181289,12292469,0.4343849936613739
12292469,672181288,0.546946762781691
12292469,672181289,0.4343849936613739
12292469,87316386,0.1540237005501938
87316386,480220477,0.09748511822436255
87316386,12292469,0.1540237005501938
12292508,156962305,0.5131499814713264
12292508,672127466,0.3654225421290759
12292508,480220478,0.33130103790579146
12292508,87573775,0.33027313785042167
156962305,672127466,0.21627906058830249
156962305,12292508,0.5131499814713264
156962305,672127462,0.23949953278230404
156962305,672127463,0.199153515780077
672127466,672127464,0.08884913949450196
672127466,156962305,0.21627906058830249
672127466,12292508,0.3654225421290759
672127466,672127439,0.13938025692869616
12293666,139456764,0.269067055596555
12293666,139456765,0.017496876520398174
139456765,12293666,0.017496876520398174
139456765,378054895,0.2552224469529215
139456764,12293666,0.269067055596555
139456764,672127493,0.18413622658532489
672127496,672127495,0.5488215535515969
672127496,80318469,0.33586554490109843
672127496,12293670,0.3001997937546971
672127496,672127494,0.42617992154339585
80318469,672127496,0.33586554490109843
80318469,12293670,0.1548352492172093
80318469,80318470,0.09201703320427396
12293670,672127496,0.3001997937546971
12293670,27372548,0.21256268227078717
12293670,80318469,0.1548352492172093
27372548,158966501,0.17587211837711042
27372548,12293670,0.21256268227078717
672127469,368396996,0.07148099195944968
672127469,12294127,0.20565076956479134
671005421,671005417,0.1950109346589284
671005421,654361141,0.056141515836366514
671005421,12294261,0.05719317233252281
671005421,671005422,0.008409747389557245
12294261,672127484,0.21593272887192067
12294261,671005421,0.05719317233252281
12294261,671005422,0.05923033789674668
671005422,21085923,0.23553586015459557
671005422,12305577,0.055293818747086165
671005422,671005421,0.008409747389557245
671005422,654361141,0.053751244303404624
671005422,12294261,0.05923033789674668
672127484,105911577,0.6277530593011824
672127484,419497748,0.30344609767654285
672127484,12294261,0.21593272887192067
28221480,671005498,0.12974610515920024
28221480,12296836,0.07159069174194899
28221480,671005501,0.17424563511123628
28221480,671005502,0.14530057889825843
12296836,28221480,0.07159069174194899
12296836,717059915,0.09191928307996353
12296836,671005501,0.11715918159822042
12296836,671005502,0.08705320168165687
671005501,12296836,0.11715918159822042
671005501,28221480,0.17424563511123628
671005501,240534094,0.5577545015325489
671005501,85621172,0.13048859014970582
671005501,671005502,0.030147799119300014
671005502,12296836,0.08705320168165687
671005502,28221480,0.14530057889825843
671005502,48658996,0.3928546252101141
